|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Brüt Okullaşma Oranı (%)|Cinsiyeti:Erkek ve Eğitim seviyeleri:Ortaokul|2012|106.1|
||2013|106.9|
||2014|105.5|
||2015|105.5|
||2016|104.5|
||2017|101.6|
||2018|99.4|
||2019|104.7|
||2020|96.0|
||2021|95.6|
||2022|98.3|
||2023|97.7|
||2024|94.0|
|Cinsiyeti:Erkek ve Eğitim seviyeleri:Ortaöğretim|2007|94.0|
||2008|81.0|
||2009|89.1|
||2010|94.4|
||2011|95.7|
||2012|99.6|
||2013|106.1|
||2014|109.8|
||2015|112.3|
||2016|110.0|
||2017|112.1|
||2018|112.2|
||2019|113.7|
||2020|126.9|
||2021|117.5|
||2022|121.9|
||2023|111.1|
||2024|101.5|
|Cinsiyeti:Erkek ve Eğitim seviyeleri:İlkokul|2012|107.2|
||2013|111.5|
||2014|100.8|
||2015|98.9|
||2016|95.9|
||2017|96.9|
||2018|98.6|
||2019|97.7|
||2020|97.0|
||2021|96.9|
||2022|97.8|
||2023|99.5|
||2024|102.6|
|Cinsiyeti:Erkek ve Eğitim seviyeleri:İlköğretim|2007|106.4|
||2008|104.9|
||2009|107.1|
||2010|107.4|
||2011|108.2|
||2012|106.7|
||2013|109.2|
||2014|103.1|
||2015|102.0|
||2016|100.3|
||2017|99.3|
||2018|99.0|
||2019|101.2|
||2020|96.5|
||2021|96.3|
||2022|98.1|
||2023|98.6|
||2024|98.3|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:Ortaokul|2012|109.2|
||2013|110.8|
||2014|108.8|
||2015|108.9|
||2016|106.1|
||2017|103.4|
||2018|101.3|
||2019|107.3|
||2020|97.8|
||2021|96.8|
||2022|100.1|
||2023|99.2|
||2024|95.0|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:Ortaöğretim|2007|80.7|
||2008|72.0|
||2009|79.0|
||2010|84.7|
||2011|89.3|
||2012|93.8|
||2013|100.3|
||2014|104.8|
||2015|107.3|
||2016|103.7|
||2017|104.5|
||2018|105.3|
||2019|107.4|
||2020|121.1|
||2021|114.6|
||2022|117.0|
||2023|109.9|
||2024|100.6|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:İlkokul|2012|107.8|
||2013|112.4|
||2014|101.4|
||2015|99.5|
||2016|96.0|
||2017|96.8|
||2018|98.2|
||2019|97.1|
||2020|96.2|
||2021|96.3|
||2022|97.4|
||2023|99.2|
||2024|102.2|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:İlköğretim|2007|102.6|
||2008|102.7|
||2009|105.9|
||2010|107.8|
||2011|108.6|
||2012|108.5|
||2013|111.6|
||2014|104.9|
||2015|103.9|
||2016|101.2|
||2017|100.2|
||2018|99.8|
||2019|102.3|
||2020|97.0|
||2021|96.5|
||2022|98.7|
||2023|99.2|
||2024|98.6|
||||
