|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Derslik Başına Düşen Öğrenci Sayısı|Eğitim seviyeleri:Ortaöğretim|2006|31.0|
||2007|29.0|
||2008|31.0|
||2009|33.0|
||2010|34.0|
||2011|31.0|
||2012|31.0|
||2013|29.0|
||2014|28.0|
||2015|23.0|
||2016|23.0|
||2017|21.0|
||2018|20.0|
||2019|19.0|
||2020|22.0|
||2021|22.0|
||2022|22.0|
||2023|22.0|
||2024|20.0|
|Eğitim seviyeleri:İlköğretim|2006|34.0|
||2007|33.0|
||2008|32.0|
||2009|32.0|
||2010|31.0|
||2011|30.0|
||2012|30.0|
||2013|29.0|
||2014|27.0|
||2015|25.0|
||2016|24.0|
||2017|24.0|
||2018|24.0|
||2019|24.0|
||2020|23.0|
||2021|23.0|
||2022|23.0|
||2023|23.0|
||2024|23.0|
||||
