|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Net Okullaşma Oranı (%)|Cinsiyeti:Erkek ve Eğitim seviyeleri:Ortaokul|2012|93.2|
||2013|94.6|
||2014|94.4|
||2015|94.4|
||2016|95.6|
||2017|94.3|
||2018|92.9|
||2019|95.7|
||2020|89.0|
||2021|90.0|
||2022|91.2|
||2023|91.4|
||2024|88.9|
|Cinsiyeti:Erkek ve Eğitim seviyeleri:Ortaöğretim|2007|61.2|
||2008|60.6|
||2009|67.6|
||2010|68.2|
||2011|68.5|
||2012|70.8|
||2013|77.2|
||2014|79.5|
||2015|79.4|
||2016|82.7|
||2017|83.8|
||2018|84.5|
||2019|85.2|
||2020|88.1|
||2021|90.0|
||2022|91.8|
||2023|87.3|
||2024|82.5|
|Cinsiyeti:Erkek ve Eğitim seviyeleri:İlkokul|2012|98.8|
||2013|99.5|
||2014|96.0|
||2015|94.5|
||2016|91.1|
||2017|91.4|
||2018|91.8|
||2019|93.7|
||2020|93.3|
||2021|93.2|
||2022|93.8|
||2023|94.9|
||2024|95.2|
|Cinsiyeti:Erkek ve Eğitim seviyeleri:İlköğretim|2007|98.5|
||2008|97.0|
||2009|98.5|
||2010|98.6|
||2011|98.8|
||2012|98.9|
||2013|99.4|
||2014|97.1|
||2015|96.3|
||2016|96.4|
||2017|96.0|
||2018|95.9|
||2019|97.6|
||2020|94.0|
||2021|94.4|
||2022|95.3|
||2023|95.7|
||2024|95.7|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:Ortaokul|2012|93.0|
||2013|94.5|
||2014|94.3|
||2015|94.4|
||2016|95.8|
||2017|94.7|
||2018|93.6|
||2019|96.1|
||2020|88.7|
||2021|89.7|
||2022|91.2|
||2023|91.5|
||2024|89.3|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:Ortaöğretim|2007|55.8|
||2008|56.3|
||2009|62.2|
||2010|63.9|
||2011|66.1|
||2012|69.3|
||2013|76.0|
||2014|79.3|
||2015|80.2|
||2016|82.4|
||2017|83.4|
||2018|83.9|
||2019|84.8|
||2020|87.8|
||2021|89.3|
||2022|91.6|
||2023|88.7|
||2024|83.3|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:İlkokul|2012|98.9|
||2013|99.6|
||2014|96.6|
||2015|95.2|
||2016|91.2|
||2017|91.7|
||2018|92.1|
||2019|93.5|
||2020|93.1|
||2021|93.1|
||2022|93.9|
||2023|95.2|
||2024|95.7|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:İlköğretim|2007|96.1|
||2008|96.0|
||2009|97.8|
||2010|98.2|
||2011|98.6|
||2012|98.7|
||2013|99.2|
||2014|97.1|
||2015|96.5|
||2016|96.6|
||2017|96.2|
||2018|96.2|
||2019|97.8|
||2020|93.8|
||2021|94.2|
||2022|95.3|
||2023|95.6|
||2024|95.7|
||||
