|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Öğretmen Başına Düşen Öğrenci Sayısı|Eğitim seviyeleri:Ortaokul|2012|19.0|
||2013|18.0|
||2014|17.0|
||2015|15.0|
||2016|16.0|
||2017|16.0|
||2018|15.0|
||2019|15.0|
||2020|14.0|
||2021|14.0|
||2022|14.0|
||2023|14.0|
||2024|13.0|
|Eğitim seviyeleri:Ortaöğretim|2012|16.0|
||2013|15.0|
||2014|14.0|
||2015|13.0|
||2016|13.0|
||2017|12.0|
||2018|11.0|
||2019|11.0|
||2020|13.0|
||2021|13.0|
||2022|12.0|
||2023|12.0|
||2024|11.0|
|Eğitim seviyeleri:İlkokul|2012|20.0|
||2013|19.0|
||2014|18.0|
||2015|18.0|
||2016|17.0|
||2017|17.0|
||2018|18.0|
||2019|17.0|
||2020|17.0|
||2021|18.0|
||2022|18.0|
||2023|18.0|
||2024|18.0|
|Eğitim seviyeleri:İlköğretim|2006|26.0|
||2007|24.0|
||2008|23.0|
||2009|22.0|
||2010|21.0|
||2011|20.0|
||||
