|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Okul Öncesi Net Okullaşma (3-5 Yaş) Oranı (%)|Cinsiyeti:Erkek|2013|28.2|
||2014|33.1|
||2015|33.6|
||2016|35.9|
||2017|38.8|
||2018|39.4|
||2019|42.1|
||2020|28.6|
||2021|44.1|
||2022|51.4|
||2023|51.9|
||2024|49.0|
|Cinsiyeti:Kadın|2013|27.2|
||2014|32.2|
||2015|32.9|
||2016|35.1|
||2017|38.2|
||2018|38.8|
||2019|41.4|
||2020|28.1|
||2021|44.0|
||2022|51.3|
||2023|51.9|
||2024|49.0|
|Ölçüm bazında|2013|27.7|
||2014|32.7|
||2015|33.3|
||2016|35.5|
||2017|38.5|
||2018|39.1|
||2019|41.8|
||2020|28.3|
||2021|44.0|
||2022|51.4|
||2023|51.9|
||2024|49.0|
||||
