|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Özel Eğitim Kurumlarında Derslik Sayısı|Eğitim seviyeleri:Genel Ortaöğretim|2012|10030.0|
||2013|11196.0|
||2014|13470.0|
||2015|34401.0|
||2016|30560.0|
||2017|35320.0|
||2018|42340.0|
||2019|42728.0|
||2020|41881.0|
||2021|41174.0|
||2022|37737.0|
||2023|35476.0|
||2024|34366.0|
|Eğitim seviyeleri:Mesleki Ve Teknik Ortaöğretim|2012|1103.0|
||2013|4851.0|
||2014|5875.0|
||2015|7326.0|
||2016|6922.0|
||2017|7833.0|
||2018|76696.0|
||2019|8675.0|
||2020|8932.0|
||2021|9392.0|
||2022|8436.0|
||2023|7692.0|
||2024|7563.0|
|Eğitim seviyeleri:Okul Öncesi	|2012|11472.0|
||2013|13079.0|
||2014|13718.0|
||2015|16699.0|
||2016|22550.0|
||2017|25736.0|
||2018|27066.0|
||2019|29067.0|
||2020|27411.0|
||2021|30469.0|
||2022|31524.0|
||2023|31026.0|
||2024|32626.0|
|Eğitim seviyeleri:Ortaokul|2012|9893.0|
||2013|10405.0|
||2014|10342.0|
||2015|17317.0|
||2016|17672.0|
||2017|23107.0|
||2018|26969.0|
||2019|28887.0|
||2020|29155.0|
||2021|28476.0|
||2022|28508.0|
||2023|28843.0|
||2024|28826.0|
|Eğitim seviyeleri:Ortaöğretim|2012|11133.0|
||2013|16047.0|
||2014|19345.0|
||2015|41727.0|
||2016|37482.0|
||2017|43153.0|
||2018|51334.0|
||2019|51403.0|
||2020|50813.0|
||2021|50566.0|
||2022|46173.0|
||2023|43168.0|
||2024|41929.0|
|Eğitim seviyeleri:İlkokul|2012|12655.0|
||2013|15626.0|
||2014|17823.0|
||2015|23019.0|
||2016|22325.0|
||2017|26159.0|
||2018|29295.0|
||2019|29980.0|
||2020|31370.0|
||2021|31040.0|
||2022|31579.0|
||2023|31109.0|
||2024|31330.0|
||||
