|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Özel Eğitim Kurumlarında Okul Sayısı|Eğitim seviyeleri:Genel Ortaöğretim|2012|907.0|
||2013|1007.0|
||2014|1174.0|
||2015|2504.0|
||2016|2246.0|
||2017|2606.0|
||2018|3176.0|
||2019|3481.0|
||2020|3393.0|
||2021|3231.0|
||2022|3085.0|
||2023|2901.0|
||2024|2774.0|
|Eğitim seviyeleri:Mesleki Ve Teknik Ortaöğretim|2012|126.0|
||2013|426.0|
||2014|429.0|
||2015|419.0|
||2016|372.0|
||2017|383.0|
||2018|413.0|
||2019|401.0|
||2020|396.0|
||2021|379.0|
||2022|337.0|
||2023|317.0|
||2024|308.0|
|Eğitim seviyeleri:Okul Öncesi	|2012|3641.0|
||2013|3927.0|
||2014|4372.0|
||2015|4658.0|
||2016|4630.0|
||2017|5218.0|
||2018|5352.0|
||2019|5655.0|
||2020|5320.0|
||2021|6246.0|
||2022|6528.0|
||2023|6820.0|
||2024|7271.0|
|Eğitim seviyeleri:Ortaokul|2012|904.0|
||2013|972.0|
||2014|1111.0|
||2015|1555.0|
||2016|1481.0|
||2017|1869.0|
||2018|2060.0|
||2019|2351.0|
||2020|2343.0|
||2021|2284.0|
||2022|2266.0|
||2023|2232.0|
||2024|2228.0|
|Eğitim seviyeleri:Ortaöğretim|2012|1033.0|
||2013|1433.0|
||2014|1603.0|
||2015|2923.0|
||2016|2618.0|
||2017|2989.0|
||2018|3589.0|
||2019|3882.0|
||2020|3789.0|
||2021|3610.0|
||2022|3422.0|
||2023|3218.0|
||2024|3082.0|
|Eğitim seviyeleri:İlkokul|2012|992.0|
||2013|1071.0|
||2014|1205.0|
||2015|1389.0|
||2016|1324.0|
||2017|1618.0|
||2018|1808.0|
||2019|1982.0|
||2020|2049.0|
||2021|2039.0|
||2022|2065.0|
||2023|2082.0|
||2024|2119.0|
||||
