|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Özel Eğitim Kurumlarında Öğretmen Sayısı|Cinsiyeti:Erkek ve Eğitim seviyeleri:Genel Ortaöğretim|2012|9651.0|
||2013|10112.0|
||2014|11198.0|
||2015|25355.0|
||2016|20322.0|
||2017|23813.0|
||2018|27213.0|
||2019|28105.0|
||2020|25556.0|
||2021|23333.0|
||2022|23756.0|
||2023|22036.0|
||2024|21362.0|
|Cinsiyeti:Erkek ve Eğitim seviyeleri:Mesleki Ve Teknik Ortaöğretim|2012|877.0|
||2013|2862.0|
||2014|3189.0|
||2015|3360.0|
||2016|2809.0|
||2017|3197.0|
||2018|3539.0|
||2019|3654.0|
||2020|3492.0|
||2021|3605.0|
||2022|3922.0|
||2023|3634.0|
||2024|3601.0|
|Cinsiyeti:Erkek ve Eğitim seviyeleri:Okul Öncesi	|2012|547.0|
||2013|544.0|
||2014|857.0|
||2015|307.0|
||2016|438.0|
||2017|579.0|
||2018|635.0|
||2019|911.0|
||2020|765.0|
||2021|821.0|
||2022|955.0|
||2023|1009.0|
||2024|1039.0|
|Cinsiyeti:Erkek ve Eğitim seviyeleri:Ortaokul|2012|7004.0|
||2013|7986.0|
||2014|8814.0|
||2015|11982.0|
||2016|9285.0|
||2017|11889.0|
||2018|13025.0|
||2019|13488.0|
||2020|12177.0|
||2021|11981.0|
||2022|12501.0|
||2023|12120.0|
||2024|12567.0|
|Cinsiyeti:Erkek ve Eğitim seviyeleri:Ortaöğretim|2012|10528.0|
||2013|12974.0|
||2014|14387.0|
||2015|28715.0|
||2016|23131.0|
||2017|27010.0|
||2018|30752.0|
||2019|31759.0|
||2020|29048.0|
||2021|26938.0|
||2022|27678.0|
||2023|25670.0|
||2024|24963.0|
|Cinsiyeti:Erkek ve Eğitim seviyeleri:İlkokul|2012|5161.0|
||2013|5113.0|
||2014|5404.0|
||2015|5865.0|
||2016|4421.0|
||2017|5411.0|
||2018|5993.0|
||2019|6462.0|
||2020|6567.0|
||2021|6491.0|
||2022|7131.0|
||2023|7024.0|
||2024|7354.0|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:Genel Ortaöğretim|2012|10546.0|
||2013|11456.0|
||2014|12255.0|
||2015|24543.0|
||2016|24476.0|
||2017|30765.0|
||2018|38081.0|
||2019|38590.0|
||2020|36486.0|
||2021|34786.0|
||2022|37762.0|
||2023|36040.0|
||2024|35095.0|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:Mesleki Ve Teknik Ortaöğretim|2012|1304.0|
||2013|4610.0|
||2014|4471.0|
||2015|5244.0|
||2016|4962.0|
||2017|5676.0|
||2018|5739.0|
||2019|5227.0|
||2020|4740.0|
||2021|4993.0|
||2022|5270.0|
||2023|5073.0|
||2024|5145.0|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:Okul Öncesi	|2012|14674.0|
||2013|14450.0|
||2014|15862.0|
||2015|17776.0|
||2016|16072.0|
||2017|18868.0|
||2018|20429.0|
||2019|21805.0|
||2020|18575.0|
||2021|22413.0|
||2022|27063.0|
||2023|27044.0|
||2024|28364.0|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:Ortaokul|2012|11922.0|
||2013|13473.0|
||2014|14202.0|
||2015|19306.0|
||2016|19490.0|
||2017|25704.0|
||2018|28412.0|
||2019|29456.0|
||2020|27139.0|
||2021|27333.0|
||2022|30172.0|
||2023|29765.0|
||2024|30617.0|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:Ortaöğretim|2012|11850.0|
||2013|16066.0|
||2014|16726.0|
||2015|29787.0|
||2016|29438.0|
||2017|36441.0|
||2018|43820.0|
||2019|43817.0|
||2020|41226.0|
||2021|39779.0|
||2022|43032.0|
||2023|41113.0|
||2024|40240.0|
|Cinsiyeti:Kadın ve Eğitim seviyeleri:İlkokul|2012|15385.0|
||2013|16160.0|
||2014|16790.0|
||2015|20043.0|
||2016|18687.0|
||2017|23555.0|
||2018|26674.0|
||2019|27052.0|
||2020|26718.0|
||2021|28219.0|
||2022|31363.0|
||2023|31754.0|
||2024|32594.0|
||||
